 SPAM [BAK::ObjectIndex] ItmIndex:0 Object: {  fl: 0 imgIndex: 0 lvl: 0 val: 0 swing (0, 0) thrust (0, 0) size: 0 None Unspecified Cat: (0)[] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:71 Object: { Royal Key of Krondor fl: 0 imgIndex: 71 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:72 Object: { Rations fl: 8800 imgIndex: 72 lvl: 1 val: 70 swing (0, 0) thrust (0, 0) size: 1 None Ration Cat: (2)[Rations] useSound: 0 times: 0 stackSize: 14 defaultStackSize: 14 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:73 Object: { Rations (Poisoned) fl: 8800 imgIndex: 73 lvl: 1 val: 10 swing (0, 0) thrust (0, 0) size: 1 None Ration Cat: (2)[Rations] useSound: 0 times: 0 stackSize: 14 defaultStackSize: 7 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:74 Object: { Rations (Spoiled) fl: 8800 imgIndex: 74 lvl: 1 val: 7 swing (0, 0) thrust (0, 0) size: 1 None Ration Cat: (2)[Rations] useSound: 0 times: 0 stackSize: 14 defaultStackSize: 7 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:75 Object: { Armorer's Hammer fl: 2110 imgIndex: 75 lvl: 1 val: 200 swing (0, 0) thrust (0, 0) size: 1 None Tool Cat: (1)[Utility] useSound: 65 times: 2 stackSize: 30 defaultStackSize: 30 eff (4, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:76 Object: { Heavy Bowstring fl: 20 imgIndex: 76 lvl: 1 val: 400 swing (0, 0) thrust (0, 0) size: 1 None Bowstring Cat: (101)[Utility,CrossbowRelated] useSound: 22 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:77 Object: { Light Bowstring fl: 20 imgIndex: 77 lvl: 1 val: 200 swing (0, 0) thrust (0, 0) size: 1 None Bowstring Cat: (101)[Utility,CrossbowRelated] useSound: 22 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:78 Object: { Herbal Pack fl: 2810 imgIndex: 78 lvl: 1 val: 100 swing (0, 0) thrust (0, 0) size: 1 None Container Cat: (4000)[Potions] useSound: 18 times: 0 stackSize: 20 defaultStackSize: 8 eff (4, 100 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:79 Object: { Ale Cask fl: 2002 imgIndex: 79 lvl: 1 val: 400 swing (0, 0) thrust (0, 0) size: 1 None Container Cat: (1)[Utility] useSound: 64 times: 0 stackSize: 8 defaultStackSize: 8 eff (3, 25 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:80 Object: { Picklocks fl: 8800 imgIndex: 80 lvl: 1 val: 350 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (1)[Utility] useSound: 0 times: 0 stackSize: 36 defaultStackSize: 4 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:81 Object: { Practice Lute fl: 2110 imgIndex: 81 lvl: 1 val: 500 swing (0, 0) thrust (0, 0) size: 2 None Other Cat: (1)[Utility] useSound: 0 times: 0 stackSize: 40 defaultStackSize: 40 eff (0, 0 ) potionPower: 0 altEff: 0 mod (800, 1) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:82 Object: { Rope fl: 2810 imgIndex: 82 lvl: 1 val: 50 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (1)[Utility] useSound: 0 times: 0 stackSize: 20 defaultStackSize: 4 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:83 Object: { Shovel fl: 2010 imgIndex: 83 lvl: 1 val: 50 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (1)[Utility] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:84 Object: { Torch fl: 2810 imgIndex: 84 lvl: 1 val: 10 swing (0, 0) thrust (0, 0) size: 1 None Light Cat: (1)[Utility] useSound: 56 times: 0 stackSize: 25 defaultStackSize: 3 eff (8, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:85 Object: { Whetstone fl: 2110 imgIndex: 85 lvl: 1 val: 20 swing (0, 0) thrust (0, 0) size: 1 None Tool Cat: (1)[Utility] useSound: 19 times: 1 stackSize: 20 defaultStackSize: 20 eff (1, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:86 Object: { Aventurine fl: 2910 imgIndex: 86 lvl: 1 val: 100 swing (0, 0) thrust (0, 0) size: 1 None Tool Cat: (1)[Utility] useSound: 19 times: 0 stackSize: 12 defaultStackSize: 6 eff (2, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:87 Object: { Burial Cloth fl: 0 imgIndex: 87 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (0)[] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:88 Object: { Ring of the Golden Way fl: 0 imgIndex: 88 lvl: 1 val: 1250 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (4000, 15) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:89 Object: { Vapor Mask fl: 0 imgIndex: 89 lvl: 1 val: 200 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (1)[Utility] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:90 Object: { Weedwalkers fl: 0 imgIndex: 90 lvl: 1 val: 1500 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (1)[Utility] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (8000, 30) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:91 Object: { Catapult gear fl: 2 imgIndex: 91 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (1)[Utility] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:92 Object: { Geomancy Stones fl: 2 imgIndex: 92 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 2 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:93 Object: { Glazer's Guild Seal fl: 2 imgIndex: 93 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:94 Object: { Hellfire Trap fl: 2 imgIndex: 94 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:95 Object: { IronJaw Trap fl: 2 imgIndex: 95 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:96 Object: { River Trap fl: 2 imgIndex: 96 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:97 Object: { Knights Piece fl: 2 imgIndex: 97 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:98 Object: { Lecture Ticket fl: 2 imgIndex: 98 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:99 Object: { Leather Leggings fl: 2 imgIndex: 99 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:100 Object: { Skeletal Hand fl: 2 imgIndex: 100 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:101 Object: { Waani fl: 2 imgIndex: 101 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:102 Object: { Wooden Chest fl: 2100 imgIndex: 102 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Other Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 24 defaultStackSize: 24 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:103 Object: { Althafain's Icer fl: 2010 imgIndex: 103 lvl: 1 val: 1750 swing (0, 0) thrust (0, 0) size: 1 None WeaponOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 20 defaultStackSize: 8 eff (400, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:104 Object: { Clerical Oilcloth fl: 2010 imgIndex: 104 lvl: 1 val: 2000 swing (0, 0) thrust (0, 0) size: 1 None SpecialOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 12 defaultStackSize: 4 eff (800, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:105 Object: { Coltari Poison fl: 2810 imgIndex: 105 lvl: 1 val: 250 swing (0, 0) thrust (0, 0) size: 1 None WeaponOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 20 defaultStackSize: 6 eff (80, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:106 Object: { Dragon Stone fl: 2010 imgIndex: 106 lvl: 1 val: 1000 swing (0, 0) thrust (0, 0) size: 1 None ArmorOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 12 defaultStackSize: 6 eff (200, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:107 Object: { Flame Root Oil fl: 2810 imgIndex: 107 lvl: 1 val: 750 swing (0, 0) thrust (0, 0) size: 1 None ArmorOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 12 defaultStackSize: 6 eff (400, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:108 Object: { Killian's Root Oil fl: 2810 imgIndex: 108 lvl: 1 val: 1750 swing (0, 0) thrust (0, 0) size: 1 None SpecialOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 12 defaultStackSize: 6 eff (1000, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:109 Object: { Naphtha fl: 2810 imgIndex: 109 lvl: 1 val: 1250 swing (0, 0) thrust (0, 0) size: 1 None WeaponOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 18 defaultStackSize: 6 eff (200, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:110 Object: { Sarigsbane fl: 2010 imgIndex: 110 lvl: 1 val: 1500 swing (0, 0) thrust (0, 0) size: 1 None ArmorOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 20 defaultStackSize: 8 eff (1800, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:111 Object: { Silver Spider fl: 2 imgIndex: 111 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None WeaponOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 0 defaultStackSize: 0 eff (80, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:112 Object: { Silverthorn fl: 2810 imgIndex: 112 lvl: 1 val: 1750 swing (0, 0) thrust (0, 0) size: 1 None WeaponOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 20 defaultStackSize: 8 eff (80, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:113 Object: { Silverthorn Anti-Venom fl: 2810 imgIndex: 113 lvl: 1 val: 2000 swing (0, 0) thrust (0, 0) size: 1 None ArmorOil Cat: (8000)[Modifier] useSound: 3 times: 0 stackSize: 12 defaultStackSize: 8 eff (80, -8065 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:114 Object: { Dalatail Milk fl: 2810 imgIndex: 114 lvl: 1 val: 1000 swing (0, 0) thrust (0, 0) size: 1 None Potion Cat: (4000)[Potions] useSound: 64 times: 0 stackSize: 20 defaultStackSize: 8 eff (200, 16 ) potionPower: 25 altEff: 8 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:115 Object: { Fadamor's Formula fl: 2810 imgIndex: 115 lvl: 1 val: 1500 swing (0, 0) thrust (0, 0) size: 1 None Potion Cat: (4000)[Potions] useSound: 64 times: 0 stackSize: 12 defaultStackSize: 6 eff (200, 8 ) potionPower: 10 altEff: 8 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:116 Object: { Lewton's Concentrate fl: 2890 imgIndex: 116 lvl: 1 val: 750 swing (0, 0) thrust (0, 0) size: 1 None Potion Cat: (4000)[Potions] useSound: 64 times: 0 stackSize: 12 defaultStackSize: 6 eff (200, 128 ) potionPower: 30 altEff: 8 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:117 Object: { Redweed Brew fl: 2810 imgIndex: 117 lvl: 1 val: 1750 swing (0, 0) thrust (0, 0) size: 1 None Potion Cat: (4000)[Potions] useSound: 64 times: 0 stackSize: 12 defaultStackSize: 6 eff (200, 64 ) potionPower: 20 altEff: 8 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:118 Object: { Truesight Tea fl: 2a10 imgIndex: 118 lvl: 1 val: 1000 swing (0, 0) thrust (0, 0) size: 1 None Potion Cat: (4000)[Potions] useSound: 64 times: 0 stackSize: 12 defaultStackSize: 6 eff (200, 32 ) potionPower: 25 altEff: 8 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:119 Object: { Restoratives fl: 2810 imgIndex: 119 lvl: 1 val: 500 swing (0, 0) thrust (0, 0) size: 1 None Restoratives Cat: (4000)[Potions] useSound: 64 times: 0 stackSize: 24 defaultStackSize: 12 eff (6, 2 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:120 Object: { Note fl: 4102 imgIndex: 120 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Note Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:121 Object: { Great One's Note fl: 102 imgIndex: 120 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Note Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:122 Object: { Mitchel Waylander's Note fl: 102 imgIndex: 120 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Note Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:123 Object: { Navon's Note fl: 102 imgIndex: 120 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Note Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:124 Object: { Abbot's Journal fl: 102 imgIndex: 121 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Note Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:125 Object: { Lorgan's Journal fl: 102 imgIndex: 121 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Note Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:126 Object: { Accts of Shamata Garrison fl: 2100 imgIndex: 122 lvl: 1 val: 1500 swing (0, 0) thrust (0, 0) size: 1 None Book Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 100 eff (100, 5 ) potionPower: 20 altEff: 1 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:127 Object: { Chapel's Rmur n Whepuns fl: 2100 imgIndex: 122 lvl: 1 val: 3500 swing (0, 0) thrust (0, 0) size: 1 None Book Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 100 eff (600, 3 ) potionPower: 15 altEff: 1 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:128 Object: { Dorcas' Treatise fl: 2100 imgIndex: 122 lvl: 1 val: 3000 swing (0, 0) thrust (0, 0) size: 1 None Book Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 100 eff (80, 5 ) potionPower: 18 altEff: 1 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:129 Object: { Kalem's Dialectic fl: 2100 imgIndex: 122 lvl: 1 val: 2250 swing (0, 0) thrust (0, 0) size: 1 None Book Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 100 eff (20, 5 ) potionPower: 20 altEff: 1 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:130 Object: { Psalms of Dala fl: 2100 imgIndex: 122 lvl: 1 val: 2000 swing (0, 0) thrust (0, 0) size: 1 None Book Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 100 eff (10, 4 ) potionPower: 20 altEff: 1 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:131 Object: { Strategies of Trading fl: 2100 imgIndex: 122 lvl: 1 val: 1250 swing (0, 0) thrust (0, 0) size: 1 None Book Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 100 eff (1000, 10 ) potionPower: 25 altEff: 1 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:132 Object: { Thiful's Bird Migrations fl: 2100 imgIndex: 122 lvl: 1 val: 4000 swing (0, 0) thrust (0, 0) size: 1 None Book Cat: (2000)[BookOrNote] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 100 eff (fff0, 5 ) potionPower: 8 altEff: 1 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:133 Object: { Magical Scroll fl: 41a0 imgIndex: 124 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Scroll Cat: (1000)[Scroll] useSound: 56 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:134 Object: { Days Rations fl: 0 imgIndex: 125 lvl: 1 val: 10 swing (0, 0) thrust (0, 0) size: 1 Human Food Cat: (0)[] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (48, 1 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:135 Object: { Quegian Brandy fl: 0 imgIndex: 126 lvl: 1 val: 50 swing (0, 0) thrust (0, 0) size: 1 Human Food Cat: (0)[] useSound: 64 times: 2 stackSize: 0 defaultStackSize: 0 eff (3, 18 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:136 Object: { Ale fl: 0 imgIndex: 127 lvl: 1 val: 10 swing (0, 0) thrust (0, 0) size: 1 Human Food Cat: (0)[] useSound: 64 times: 2 stackSize: 0 defaultStackSize: 0 eff (3, 12 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:137 Object: { Keshian Ale fl: 0 imgIndex: 127 lvl: 1 val: 30 swing (0, 0) thrust (0, 0) size: 1 Human Food Cat: (0)[] useSound: 64 times: 2 stackSize: 0 defaultStackSize: 0 eff (3, 28 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 INFO [main] Loading fixed objects from zone: 1
